label	gene
seedling_specific	TraesCS2A03G1254500
seedling_specific	TraesCS2A03G1275800
seedling_specific	TraesCS2A03G1367300
seedling_specific	TraesCS2A03G1358800
seedling_specific	TraesCS2A03G1336800
seedling_specific	TraesCS2A03G1311900
seedling_specific	TraesCS2A03G1294300
seedling_specific	TraesCS2B03G0010700
seedling_specific	TraesCS2B03G0040000
seedling_specific	TraesCS2B03G0026600
seedling_specific	TraesCS2B03G0026300
seedling_specific	TraesCS2B03G0026200
seedling_specific	TraesCS2B03G0023700
seedling_specific	TraesCS2B03G0023200
seedling_specific	TraesCS2B03G0022900
seedling_specific	TraesCS2B03G0058900
seedling_specific	TraesCS2B03G0059700
seedling_specific	TraesCS2B03G0095800
seedling_specific	TraesCS2B03G0103100
seedling_specific	TraesCS2B03G0106200
seedling_specific	TraesCS2B03G0106500
seedling_specific	TraesCS2B03G0122200
seedling_specific	TraesCS2B03G0124700
seedling_specific	TraesCS2B03G0142700
seedling_specific	TraesCS2B03G0142800
seedling_specific	TraesCS2B03G0145100
seedling_specific	TraesCS2B03G0145500
seedling_specific	TraesCS2B03G0168400
seedling_specific	TraesCS2B03G0168600
seedling_specific	TraesCS2B03G0168700
seedling_specific	TraesCS2B03G0179200
seedling_specific	TraesCS2B03G0179300
seedling_specific	TraesCS2B03G0179600
seedling_specific	TraesCS2B03G0196500
seedling_specific	TraesCS2B03G0197800
seedling_specific	TraesCS2B03G0205100
seedling_specific	TraesCS2B03G0228200
seedling_specific	TraesCS2B03G0230000
seedling_specific	TraesCS2B03G0248600
seedling_specific	TraesCS2B03G0291000
seedling_specific	TraesCS2B03G0308400
seedling_specific	TraesCS2B03G0312500
seedling_specific	TraesCS2B03G0331600
seedling_specific	TraesCS2B03G0342100
seedling_specific	TraesCS2B03G0363800
seedling_specific	TraesCS2B03G0441100
seedling_specific	TraesCS2B03G0447400
seedling_specific	TraesCS2B03G0455200
seedling_specific	TraesCS2B03G0492100
seedling_specific	TraesCS2B03G0506300
seedling_specific	TraesCS2B03G0513700
seedling_specific	TraesCS2B03G0543000
seedling_specific	TraesCS2B03G0544400
seedling_specific	TraesCS2B03G0546300
seedling_specific	TraesCS2B03G0562200
seedling_specific	TraesCS2B03G0570500
seedling_specific	TraesCS2B03G0576900
seedling_specific	TraesCS2B03G0595000
seedling_specific	TraesCS2B03G0597600
seedling_specific	TraesCS2B03G0639700
seedling_specific	TraesCS2B03G0677200
seedling_specific	TraesCS2B03G0710100
seedling_specific	TraesCS2B03G0704600
seedling_specific	TraesCS2B03G0702300
seedling_specific	TraesCS2B03G0603000
seedling_specific	TraesCS2B03G0725100
seedling_specific	TraesCS2B03G0744600
seedling_specific	TraesCS2B03G0754200
seedling_specific	TraesCS2B03G0756600
seedling_specific	TraesCS2B03G0768700
seedling_specific	TraesCS2B03G0780700
seedling_specific	TraesCS2B03G0799300
seedling_specific	TraesCS2B03G0811700
seedling_specific	TraesCS2B03G0822700
seedling_specific	TraesCS2B03G0021300
seedling_specific	TraesCS2B03G0021600
seedling_specific	TraesCS2B03G0832300
seedling_specific	TraesCS2B03G0839700
seedling_specific	TraesCS2B03G0843400
seedling_specific	TraesCS2B03G0856200
seedling_specific	TraesCS2B03G0863200
seedling_specific	TraesCS2B03G0865400
seedling_specific	TraesCS2B03G0875300
seedling_specific	TraesCS2B03G0879600
seedling_specific	TraesCS2B03G0889000
seedling_specific	TraesCS2B03G0893300
seedling_specific	TraesCS2B03G0897500
seedling_specific	TraesCS2B03G0957300
seedling_specific	TraesCS2B03G0958000
seedling_specific	TraesCS2B03G0971500
seedling_specific	TraesCS2B03G1007000
seedling_specific	TraesCS2B03G1021700
seedling_specific	TraesCS2B03G1026200
seedling_specific	TraesCS2B03G1029600
seedling_specific	TraesCS2B03G1043700
seedling_specific	TraesCS2B03G1057000
seedling_specific	TraesCS2B03G1073900
seedling_specific	TraesCS2B03G1101200
seedling_specific	TraesCS2B03G1137600
seedling_specific	TraesCS2B03G1159400
seedling_specific	TraesCS2B03G1160400
seedling_specific	TraesCS2B03G1160500
seedling_specific	TraesCS2B03G1186800
seedling_specific	TraesCS2B03G1190700
seedling_specific	TraesCS2B03G1202000
seedling_specific	TraesCS2B03G1207700
seedling_specific	TraesCS2B03G1227100
seedling_specific	TraesCS2B03G1229300
seedling_specific	TraesCS2B03G1259500
seedling_specific	TraesCS2B03G1296200
seedling_specific	TraesCS2B03G1309000
seedling_specific	TraesCS2B03G1352700
seedling_specific	TraesCS2B03G1373700
seedling_specific	TraesCS2B03G1373900
seedling_specific	TraesCS2B03G1379300
seedling_specific	TraesCS2B03G1393100
seedling_specific	TraesCS2B03G1395900
seedling_specific	TraesCS2B03G1399200
seedling_specific	TraesCS2B03G1399900
seedling_specific	TraesCS2B03G1403800
seedling_specific	TraesCS2B03G1410100
seedling_specific	TraesCS2B03G1410300
seedling_specific	TraesCS2B03G1437200
seedling_specific	TraesCS2B03G1460500
seedling_specific	TraesCS2B03G1485200
seedling_specific	TraesCS2B03G1487900
seedling_specific	TraesCS2B03G1501600
seedling_specific	TraesCS2B03G1568900
seedling_specific	TraesCS2B03G1560200
seedling_specific	TraesCS2D03G0012200
seedling_specific	TraesCS2D03G0015600
seedling_specific	TraesCS2D03G0016100
seedling_specific	TraesCS2D03G0016300
seedling_specific	TraesCS2D03G0016700
seedling_specific	TraesCS2D03G0018600
seedling_specific	TraesCS2D03G0019200
seedling_specific	TraesCS2D03G0026900
seedling_specific	TraesCS2D03G0027100
seedling_specific	TraesCS2D03G0027200
seedling_specific	TraesCS2D03G0028200
seedling_specific	TraesCS2D03G0031100
seedling_specific	TraesCS2D03G0031600
seedling_specific	TraesCS2D03G0031700
seedling_specific	TraesCS2D03G0049800
seedling_specific	TraesCS2D03G0059300
seedling_specific	TraesCS2D03G0066700
seedling_specific	TraesCS2D03G0067000
seedling_specific	TraesCS2D03G0080800
seedling_specific	TraesCS2D03G0085100
seedling_specific	TraesCS2D03G0092700
seedling_specific	TraesCS2D03G0118400
seedling_specific	TraesCS2D03G0119200
seedling_specific	TraesCS2D03G0119300
seedling_specific	TraesCS2D03G0123200
seedling_specific	TraesCS2D03G0128900
seedling_specific	TraesCS2D03G0129100
seedling_specific	TraesCS2D03G0129200
seedling_specific	TraesCS2D03G0129300
seedling_specific	TraesCS2D03G0140800
seedling_specific	TraesCS2D03G0141700
seedling_specific	TraesCS2D03G0144600
seedling_specific	TraesCS2D03G0162100
seedling_specific	TraesCS2D03G0163200
seedling_specific	TraesCS2D03G0230300
seedling_specific	TraesCS2D03G0232400
seedling_specific	TraesCS2D03G0239800
seedling_specific	TraesCS2D03G0248000
seedling_specific	TraesCS2D03G0257500
seedling_specific	TraesCS2D03G0262700
seedling_specific	TraesCS2D03G0272800
seedling_specific	TraesCS2D03G0316300
seedling_specific	TraesCS2D03G0340400
seedling_specific	TraesCS2D03G0388600
seedling_specific	TraesCS2D03G0396300
seedling_specific	TraesCS2D03G0397900
seedling_specific	TraesCS2D03G0430200
seedling_specific	TraesCS2D03G0432500
seedling_specific	TraesCS2D03G0434000
seedling_specific	TraesCS2D03G0435400
seedling_specific	TraesCS2D03G0447000
seedling_specific	TraesCS2D03G0465000
seedling_specific	TraesCS2D03G0479700
seedling_specific	TraesCS2D03G0488600
seedling_specific	TraesCS2D03G0527300
seedling_specific	TraesCS2D03G0549700
seedling_specific	TraesCS2D03G0560200
seedling_specific	TraesCS2D03G0571800
seedling_specific	TraesCS2D03G0578400
seedling_specific	TraesCS2D03G0603200
seedling_specific	TraesCS2D03G0609000
seedling_specific	TraesCS2D03G0615800
seedling_specific	TraesCS2D03G0627700
seedling_specific	TraesCS2D03G0628800
seedling_specific	TraesCS2D03G0641100
seedling_specific	TraesCS2D03G0649600
seedling_specific	TraesCS2D03G0666700
seedling_specific	TraesCS2D03G0677900
seedling_specific	TraesCS2D03G0702400
seedling_specific	TraesCS2D03G0705400
seedling_specific	TraesCS2D03G0714700
seedling_specific	TraesCS2D03G0718300
seedling_specific	TraesCS2D03G0725500
seedling_specific	TraesCS2D03G0742900
seedling_specific	TraesCS2D03G0747300
seedling_specific	TraesCS2D03G0753400
seedling_specific	TraesCS2D03G0767700
seedling_specific	TraesCS2D03G0790700
seedling_specific	TraesCS2D03G0805600
seedling_specific	TraesCS2D03G0806900
seedling_specific	TraesCS2D03G0821500
seedling_specific	TraesCS2D03G0825200
seedling_specific	TraesCS2D03G0858100
seedling_specific	TraesCS2D03G0875000
seedling_specific	TraesCS2D03G0886700
seedling_specific	TraesCS2D03G0887600
seedling_specific	TraesCS2D03G0897500
seedling_specific	TraesCS2D03G0922000
seedling_specific	TraesCS2D03G0927700
seedling_specific	TraesCS2D03G0954300
seedling_specific	TraesCS2D03G0958900
seedling_specific	TraesCS2D03G0960100
seedling_specific	TraesCS2D03G0975300
seedling_specific	TraesCS2D03G0976200
seedling_specific	TraesCS2D03G0977900
seedling_specific	TraesCS2D03G1002600
seedling_specific	TraesCS2D03G1020400
seedling_specific	TraesCS2D03G1029200
seedling_specific	TraesCS2D03G1065600
seedling_specific	TraesCS2D03G1068000
seedling_specific	TraesCS2D03G1079200
seedling_specific	TraesCS2D03G1118400
seedling_specific	TraesCS2D03G1141500
seedling_specific	TraesCS2D03G1158800
seedling_specific	TraesCS2D03G1159100
seedling_specific	TraesCS2D03G1162700
seedling_specific	TraesCS2D03G1165600
seedling_specific	TraesCS2D03G1166700
seedling_specific	TraesCS2D03G1177900
seedling_specific	TraesCS2D03G1179400
seedling_specific	TraesCS2D03G1181100
seedling_specific	TraesCS2D03G1182900
seedling_specific	TraesCS2D03G1183200
seedling_specific	TraesCS2D03G1187400
seedling_specific	TraesCS2D03G1210200
seedling_specific	TraesCS2D03G1230600
seedling_specific	TraesCS2D03G1257100
seedling_specific	TraesCS2D03G1334300
seedling_specific	TraesCS2D03G1332800
seedling_specific	TraesCS2D03G1330600
seedling_specific	TraesCS2D03G1324400
seedling_specific	TraesCS2D03G1324200
seedling_specific	TraesCS2D03G1277800
seedling_specific	TraesCS3A03G0003000
seedling_specific	TraesCS3A03G0014600
seedling_specific	TraesCS3A03G0025700
seedling_specific	TraesCS3A03G0055600
seedling_specific	TraesCS3A03G0082200
seedling_specific	TraesCS3A03G0092900
seedling_specific	TraesCS3A03G0093000
seedling_specific	TraesCS3A03G0093200
seedling_specific	TraesCS3A03G0109800
seedling_specific	TraesCS3A03G0115600
seedling_specific	TraesCS3A03G0128200
seedling_specific	TraesCS3A03G0129600
seedling_specific	TraesCS3A03G0166400
seedling_specific	TraesCS3A03G0179900
seedling_specific	TraesCS3A03G0180000
seedling_specific	TraesCS3A03G0183800
seedling_specific	TraesCS3A03G0193800
seedling_specific	TraesCS3A03G0194100
seedling_specific	TraesCS3A03G0207800
seedling_specific	TraesCS3A03G0209000
seedling_specific	TraesCS3A03G0248000
seedling_specific	TraesCS3A03G0248600
seedling_specific	TraesCS3A03G0257700
seedling_specific	TraesCS3A03G0272000
seedling_specific	TraesCS3A03G0319200
seedling_specific	TraesCS3A03G0312300
seedling_specific	TraesCS3A03G0312100
seedling_specific	TraesCS3A03G0327700
seedling_specific	TraesCS3A03G0340900
seedling_specific	TraesCS3A03G0349400
seedling_specific	TraesCS3A03G0368600
seedling_specific	TraesCS3A03G0417500
seedling_specific	TraesCS3A03G0424800
seedling_specific	TraesCS3A03G0428300
seedling_specific	TraesCS3A03G0433200
seedling_specific	TraesCS3A03G0439700
seedling_specific	TraesCS3A03G0461600
seedling_specific	TraesCS3A03G0528000
seedling_specific	TraesCS3A03G0529400
seedling_specific	TraesCS3A03G0565500
seedling_specific	TraesCS3A03G0579900
seedling_specific	TraesCS3A03G0583600
seedling_specific	TraesCS3A03G0590600
