"gene","category"
"TraesCS3B03G0705400","Conserved"
"TraesCS3B03G0106500","Ambiguous"
"TraesCS3B03G0949200","Ambiguous"
"TraesCS3B03G1232700","Conserved"
"TraesCS1B03G1140000","Ambiguous"
"TraesCS5B03G0477600","Trans only"
"TraesCS6B03G1139500","Ambiguous"
"TraesCS5B03G0078200","Conserved"
"TraesCS6B03G0832100","Conserved"
"TraesCS3B03G0401100","Conserved"
"TraesCS6B03G1226600","Ambiguous"
"TraesCS2B03G0528900","Ambiguous"
"TraesCS6B03G0979900","Ambiguous"
"TraesCS3B03G1498800","Trans only"
"TraesCS5B03G0721300","Ambiguous"
"TraesCS6B03G0692100","Ambiguous"
"TraesCS5B03G0710400","Ambiguous"
"TraesCS3B03G1209200","Cis + trans"
"TraesCS6B03G0051700","Ambiguous"
"TraesCS6B03G1038900","Trans only"
"TraesCS6B03G0847300","Compensatory"
"TraesCS1B03G1205300","Cis × trans"
"TraesCS2B03G1308200","Conserved"
"TraesCS2B03G0535000","Conserved"
"TraesCS3B03G0935000","Conserved"
"TraesCS4B03G0264500","Ambiguous"
"TraesCS3B03G0239800","Conserved"
"TraesCS7B03G0325100","Conserved"
"TraesCS5B03G0947000","Conserved"
"TraesCS5B03G0157600","Conserved"
"TraesCS2B03G1388300","Conserved"
"TraesCS6B03G0403900","Ambiguous"
"TraesCS2B03G1473200","Ambiguous"
"TraesCS2B03G1269500","Ambiguous"
"TraesCS6B03G1224500","Conserved"
"TraesCS3B03G0041000","Conserved"
"TraesCS3B03G1193600","Ambiguous"
"TraesCS6B03G1143900","Conserved"
"TraesCS1B03G0948300","Ambiguous"
"TraesCS7B03G1186000","Trans only"
"TraesCS4B03G0038400","Conserved"
"TraesCS3B03G0971600","Conserved"
"TraesCS6B03G0505800","Ambiguous"
"TraesCS1B03G0947900","Ambiguous"
"TraesCS3B03G0767100","Ambiguous"
"TraesCS7B03G1176800","Ambiguous"
"TraesCS7B03G1255800","Ambiguous"
"TraesCS6B03G0752000","Ambiguous"
"TraesCS1B03G1029300","Conserved"
"TraesCS2B03G0944400","Compensatory"
"TraesCS3B03G0598400","Ambiguous"
"TraesCS6B03G1143600","Ambiguous"
