"gene","sample","pval","adjpval","MAF","delta","rref","ralt"
"TraesCS5D03G1165600","CSxP1",0.365396,0.671380979551122,0.626106854180759,0.643856188692703,75,48
"TraesCS5D03G1169100","CSxP1",0.714972,0.952089950478945,0.573040512466816,0.203091865157227,99,86
"TraesCS5D03G1169300","CSxP1",0.030244,0.11759250237467,0.667284424333148,-0.280107918586561,42,51
"TraesCS5D03G1169500","CSxP1",0.058112,0.195689769652651,0.649490329798101,-0.777607577232307,42,72
"TraesCS5D03G1169800","CSxP1",0.728258,0.96132538205266,0.566763404495693,-0.192645076654276,14,16
"TraesCS5D03G1170300","CSxP1",0.000211,0.00151969501466276,0.756160475153161,1.61297687117872,52,17
"TraesCS5D03G1170400","CSxP1",0.986579,1,0.542973196000444,0.0191088229223943,76,75
"TraesCS5D03G1172500","CSxP1",0,0,0.714556217552096,1.25028370329094,383,161
"TraesCS5D03G1173300","CSxP1",0.318787,0.626185714742735,0.596013165820124,-0.227410495589919,41,48
"TraesCS5D03G1173700","CSxP1",0.170685,0.418644167776298,0.569390630015918,0,204,204
"TraesCS5D03G1174700","CSxP1",0,0,0.689237387068015,1.1375035227007,165,75
"TraesCS5D03G1179500","CSxP1",0.007234,0.0359165175202156,0.80952380952381,2.08746281366941,17,4
"TraesCS5D03G1179800","CSxP1",0.006802,0.0340701128484025,0.651162790697674,-0.900464324216343,30,56
"TraesCS5D03G1183300","CSxP1",0,0,0.617785579473343,0.686064695623505,362,225
"TraesCS5D03G1185800","CSxP1",0.456725,0.760383257452575,0.54163051230794,-0.197939377570063,442,507
"TraesCS5D03G1187000","CSxP1",0.77255,0.970107069293478,0.583136777174609,0.485426823048256,14,10
"TraesCS5D03G1188600","CSxP1",0.441324,0.749426975800876,0.605736582969761,0.584962498535255,33,22
"TraesCS5D03G1188700","CSxP1",0.465107,0.76974581671159,0.52085682083827,0.116141594592448,724,668
"TraesCS5D03G1189100","CSxP1",0.092408,0.275699169566977,0.769230769230769,1.73696556050332,10,3
"TraesCS5D03G1199000","CSxP1",0.754052,0.966554039979141,0.6,0.584962488698698,6,4
"TraesCS5D03G1199300","CSxP1",1,1,0.526315789473684,0.152003091842055,10,9
"TraesCS5D03G1206400","CSxP1",0.628919,0.889662701418168,0.588235294117647,0.51457316664678,10,7
"TraesCS5D03G1217900","CSxP1",0.958842,1,0.551762283479663,0.0473057147266473,93,90
"TraesCS5D03G1218200","CSxP1",0.094574,0.280523845410628,0.627638679722713,0.51846708775714,53,37
"TraesCS5D03G1218800","CSxP1",0.284105,0.584576008936051,0.615587123004686,0.104336659563103,43,40
"TraesCS5D03G1219100","CSxP1",0,0,0.801477653452825,-1.99999999398877,18,72
"TraesCS5D03G1220400","CSxP1",0.361314,0.666540198297446,0.633511902428852,-0.255257054487395,31,37
"TraesCS5D03G1224000","CSxP1",1,1,0.538461538461539,-0.22239241790146,6,7
"TraesCS5D03G1224700","CSxP1",0.51034,0.80920205551969,0.567567567567568,-0.392317420631893,16,21
"TraesCS5D03G1224800","CSxP1",0.800947,0.98061459407579,0.571315950087767,0,14,14
"TraesCS5D03G1232400","CSxP1",6e-06,5.49167701863354e-05,0.615689997669997,0.276331228354111,327,270
"TraesCS5D03G1232500","CSxP1",0.193801,0.457668515384615,0.629382759871585,0.75899189822623,44,26
"TraesCS5D03G1232700","CSxP1",0.454733,0.759573211325028,0.625,-0.736965584548239,6,10
"TraesCS5D03G1232900","CSxP1",0.320607,0.628754957678999,0.647886322003698,-0.341036915810232,15,19
"TraesCS5D03G1234200","CSxP1",0.291602,0.594335694605809,0.582692669835578,0.367208973718372,89,69
"TraesCS5D03G1234300","CSxP1",0.447686,0.755162648351648,0.582904214444427,-0.0279059965590885,256,261
"TraesCS5D03G1234500","CSxP1",0.509808,0.808842666666667,0.604869563831663,-0.612976873953138,17,26
"TraesCS5D03G1234600","CSxP1",0.013064,0.0592341858461538,0.691856499937258,-0.383328638819704,46,60
"TraesCS5D03G1234700","CSxP1",0.611615,0.877239501654662,0.55511365085366,0.294447358213988,130,106
"TraesCS5D03G1236200","CSxP1",0,0,0.768246138167777,1.69446086511568,602,186
"TraesCS5D03G1236300","CSxP1",0,0,0.650550745178016,0.891528210431054,397,214
"TraesCS5D03G1236500","CSxP1",0.012265,0.0563394763092269,0.684025693325984,1.11547721418312,52,24
"TraesCS5D03G0525800","CSxP1",1,1,0.5,0,12,12
"TraesCS5D03G0536000","CSxP1",0.924363,1,0.509090909090911,-0.0524674197987192,54,56
"TraesCS5D03G0442400","CSxP1",0.019892,0.0841761239242685,0.702702702702703,1.24100809193721,26,11
"TraesCS5D03G0444100","CSxP1",0.050707,0.175733384760113,0.618421052631579,0.696607854644819,47,29
"TraesCS5D03G0546200","CSxP1",0.012734,0.0580235695732839,0.679245283018868,-1.08246215571302,17,36
"TraesCS5D03G0446300","CSxP1",0.558081,0.842338072920934,0.533333333333334,-0.192645077574361,49,56
"TraesCS5D03G0562500","CSxP1",0.091944,0.275699169566977,0.769230769230769,-1.73696556050332,3,10
"TraesCS5D03G0574100","CSxP1",0.672903,0.925277262175779,0.578947368421053,0.459431616178158,22,16
"TraesCS5D03G0590500","CSxP1",0.779611,0.974249295793759,0.529411764705883,-0.169925000774398,24,27
"TraesCS6A03G0311400","CSxP1",0.135815,0.358797031193976,0.555555555555555,0.321928094559477,110,88
"TraesCS6A03G0042300","CSxP1",0.133518,0.355817436416185,0.681818181818182,1.09953566255895,15,7
"TraesCS6A03G0042400","CSxP1",0.223676,0.504143397981034,0.614481242899911,0.367208973718372,89,69
"TraesCS6A03G0316600","CSxP1",1,1,0.545454545454545,0.26303440102481,6,5
"TraesCS6A03G0047100","CSxP1",1,1,0.533333333333333,-0.192645075366155,7,8
"TraesCS6A03G0048200","CSxP1",0.940901,1,0.536589417224108,0.0703893275478992,21,20
"TraesCS6A03G0053100","CSxP1",6.3e-05,0.000496453475935829,0.586146429178293,0.501304571574839,603,426
"TraesCS6A03G0053800","CSxP1",0.051425,0.177803566400751,0.555995012840129,0.323944440384416,358,286
"TraesCS6A03G0054700","CSxP1",3e-06,2.81938775510204e-05,0.74237490028219,1.38605843028274,115,44
"TraesCS6A03G0002100","CSxP1",0.021431,0.0889597791549296,0.9,3.16992487320276,9,1
"TraesCS6A03G0002200","CSxP1",0.753628,0.966554039979141,0.6,0.584962488698698,6,4
"TraesCS6A03G0056000","CSxP1",0,0,0.759279356003622,1.64497606341485,15143,4842
"TraesCS6A03G0056800","CSxP1",0.292737,0.595824921546961,0.636538340464351,-0.807354918966115,20,35
"TraesCS6A03G0057400","CSxP1",0,0,0.823529411764706,2.22239241818771,168,36
"TraesCS6A03G0057600","CSxP1",0.003356,0.0183707340267459,0.6671859311466,0.766509869096745,148,87
"TraesCS6A03G0058400","CSxP1",0.389494,0.695369952023261,0.586720438221993,0.450442835169729,220,161
"TraesCS6A03G0058600","CSxP1",1,1,0.5,0,5,5
"TraesCS6A03G0003100","CSxP1",0.823979,0.989000774865701,0.55,0.28950661428045,11,9
"TraesCS6A03G0003300","CSxP1",0.648186,0.904856848806366,0.56039046003713,0.124447370817073,121,111
"TraesCS6A03G0063600","CSxP1",0.001817,0.0107186997598078,0.646302227490663,-0.388565287298314,55,72
"TraesCS6A03G0393300","CSxP1",0.743113,0.966554039979141,0.523809523809523,-0.13750352342205,40,44
"TraesCS6A03G0004300","CSxP1",0,0,0.783981604387396,1.85650840579254,612,169
"TraesCS6A03G0004500","CSxP1",0,0,0.565939456691235,-0.178567199632917,1313,1486
"TraesCS6A03G0004800","CSxP1",0.27745,0.576332562729067,0.602383866113205,0.0326046654135053,179,175
