"gene","sample","pval","adjpval","MAF","delta","rref","ralt"
"TraesPARA_EIv1.0_1289850","PxCS1",0.006823,0.0451132686567164,0.655552909865759,-0.928446736766357,31,59
"TraesPARA_EIv1.0_1289860","PxCS1",0.893968,1,0.517857142857142,0.103093492595599,29,27
"TraesPARA_EIv1.0_1289880","PxCS1",0.522931,0.868298242395882,0.564102564102564,0.371968775458221,22,17
"TraesPARA_EIv1.0_1289940","PxCS1",1,1,0.5,0,5,5
"TraesPARA_EIv1.0_1290160","PxCS1",0.916784,1,0.534544288965845,0.199308807533947,31,27
"TraesPARA_EIv1.0_1290260","PxCS1",0.383727,0.758732411132543,0.619047619047619,-0.700439711205058,8,13
"TraesPARA_EIv1.0_1290420","PxCS1",0.086278,0.320009661957091,0.573333333333333,0.42626475412544,86,64
"TraesPARA_EIv1.0_1290480","PxCS1",0.919597,1,0.524688347230958,-0.0974658093849473,186,199
"TraesPARA_EIv1.0_1290490","PxCS1",0,0,0.707913941953796,1.03813512756505,115,56
"TraesPARA_EIv1.0_1290590","PxCS1",0.038555,0.180503689269256,0.833333333333333,2.32192803717956,10,2
"TraesPARA_EIv1.0_1290600","PxCS1",0.518307,0.865840211171341,0.532674460385379,0.0224373891162657,648,638
"TraesPARA_EIv1.0_1290610","PxCS1",0.084549,0.315744632244468,0.625403713750962,-0.454565862021342,27,37
"TraesPARA_EIv1.0_1290620","PxCS1",0.598376,0.92061842587367,0.530882232203577,0.124755030930841,169,155
"TraesPARA_EIv1.0_1290650","PxCS1",0.874607,1,0.525,0.144389908612019,21,19
"TraesPARA_EIv1.0_1290680","PxCS1",0.38116,0.758254863878754,0.5625,0.362570078239712,36,28
"TraesPARA_EIv1.0_1290780","PxCS1",0.226356,0.579741777617848,0.727272727272727,1.4150374692227,8,3
"TraesPARA_EIv1.0_1290790","PxCS1",0.099944,0.354201536,0.698911896396007,-1.20163385301529,10,23
"TraesPARA_EIv1.0_1290820","PxCS1",0.011976,0.0722433089361702,0.909090909090909,-3.32192796504482,1,10
"TraesPARA_EIv1.0_1291050","PxCS1",0.141623,0.440575648968846,0.5543264390456,-0.315138929091815,213,265
"TraesPARA_EIv1.0_1291060","PxCS1",0,0,0.567189252183345,0.383111611308486,1445,1108
"TraesPARA_EIv1.0_1291080","PxCS1",0,0,0.567684051391482,-0.39278469239273,882,1158
