"gene","category"
"TraesPARA_EIv1.0_0038130","Conserved"
"TraesPARA_EIv1.0_0038140","Conserved"
"TraesPARA_EIv1.0_0038350","Ambiguous"
"TraesPARA_EIv1.0_0038630","Conserved"
"TraesPARA_EIv1.0_0038690","Conserved"
"TraesPARA_EIv1.0_0038720","Conserved"
"TraesPARA_EIv1.0_0038850","Conserved"
"TraesPARA_EIv1.0_0038890","Conserved"
"TraesPARA_EIv1.0_0038920","Ambiguous"
"TraesPARA_EIv1.0_0038970","Ambiguous"
"TraesPARA_EIv1.0_0039000","Ambiguous"
"TraesPARA_EIv1.0_0039110","Trans only"
"TraesPARA_EIv1.0_0039200","Ambiguous"
"TraesPARA_EIv1.0_0039300","Ambiguous"
"TraesPARA_EIv1.0_0039430","Ambiguous"
"TraesPARA_EIv1.0_0039910","Ambiguous"
"TraesPARA_EIv1.0_0040380","Ambiguous"
"TraesPARA_EIv1.0_0040920","Ambiguous"
"TraesPARA_EIv1.0_0041070","Conserved"
"TraesPARA_EIv1.0_0041210","Conserved"
"TraesPARA_EIv1.0_0041240","Conserved"
"TraesPARA_EIv1.0_0041390","Conserved"
"TraesPARA_EIv1.0_0041490","Conserved"
"TraesPARA_EIv1.0_0041500","Ambiguous"
"TraesPARA_EIv1.0_0041520","Conserved"
"TraesPARA_EIv1.0_0041540","Ambiguous"
"TraesPARA_EIv1.0_0041600","Ambiguous"
"TraesPARA_EIv1.0_0041640","Ambiguous"
"TraesPARA_EIv1.0_0041720","Conserved"
"TraesPARA_EIv1.0_0041760","Conserved"
"TraesPARA_EIv1.0_0041850","Ambiguous"
"TraesPARA_EIv1.0_0041870","Conserved"
"TraesPARA_EIv1.0_0041880","Conserved"
"TraesPARA_EIv1.0_0041980","Conserved"
"TraesPARA_EIv1.0_0041990","Ambiguous"
"TraesPARA_EIv1.0_0042000","Ambiguous"
"TraesPARA_EIv1.0_0042020","Ambiguous"
"TraesPARA_EIv1.0_0042060","Cis only"
"TraesPARA_EIv1.0_0042270","Conserved"
"TraesPARA_EIv1.0_0042300","Conserved"
"TraesPARA_EIv1.0_0042340","Conserved"
"TraesPARA_EIv1.0_0042350","Ambiguous"
"TraesPARA_EIv1.0_0042370","Ambiguous"
"TraesPARA_EIv1.0_0042600","Ambiguous"
"TraesPARA_EIv1.0_0042610","Ambiguous"
"TraesPARA_EIv1.0_0042650","Conserved"
"TraesPARA_EIv1.0_0042680","Ambiguous"
"TraesPARA_EIv1.0_0042690","Ambiguous"
"TraesPARA_EIv1.0_0043190","Ambiguous"
"TraesPARA_EIv1.0_0043290","Conserved"
"TraesPARA_EIv1.0_0043330","Ambiguous"
"TraesPARA_EIv1.0_0043490","Trans only"
"TraesPARA_EIv1.0_0043510","Conserved"
"TraesPARA_EIv1.0_0043540","Conserved"
"TraesPARA_EIv1.0_0043560","Ambiguous"
